"distance" "date" "SrCa" "density" "SST"
71.5 2011-09-04 9.11369203653999 1.16610542407256 23.92
72 2011-08-08 9.08698944735926 1.22033843392639 24.37
72.5 2011-07-13 9.07020544989562 1.20844012939749 25.07
73 2011-06-16 9.0374974811352 1.39998385167519 26.25
73.5 2011-05-20 9.01969632580898 1.3029248011022 27.51
74 2011-04-24 9.00662399199124 1.27399382724585 27.77
74.5 2011-03-28 8.9827380745399 1.22295781677151 28.33
75 2011-03-01 8.89996985816534 1.22865242477059 28.91
75.5 2011-02-12 8.96417632973037 1.35006899225656 28.02
76 2011-01-27 8.9347255479295 1.2895062335925 28.11
76.5 2011-01-10 8.93058627250943 1.46425334444149 27.82
77 2010-12-24 8.95084700045077 1.32840174940885 27.87
77.5 2010-12-07 8.99433967249028 1.27003385708737 26.45
78 2010-11-20 9.02731786109689 1.49472368482458 26.34
78.5 2010-11-03 9.06700221392088 1.36279597606088 25.58
79 2010-10-18 9.0944137698924 1.1945182785351 25.05
79.5 2010-10-01 9.10967559793244 1.21436620601327 24.08
80 2010-09-07 9.1088202580021 1.29591907478309 25.22
80.5 2010-08-14 9.09132213817993 1.37143020384178 25.01
81 2010-07-22 9.08263564594742 1.46708134180619 25.32
81.5 2010-06-28 9.06751079696552 1.43289116412934 25.62
82 2010-06-04 9.02167984896072 1.49438659150764 26.45
82.5 2010-05-11 8.99621762869702 1.3121933177758 27.4
83 2010-04-18 8.9626874345843 1.33778335778574 28.86
83.5 2010-03-25 8.93820816889006 1.33884811323415 29.21
84 2010-03-01 8.8940536552693 1.24439844403642 29.71
