distance,rdistance,HU
52.3373,43.307,3515.135
52.4343,43.404,3540.349
52.5313,43.501,3582.718
52.6283,43.598,3751.995
52.7253,43.695,3928.052
52.8223,43.792,4026.077
52.9193,43.889,3741.723
53.0163,43.986,3624.482
53.1133,44.083,3735.272
53.2113,44.181,3889.465
53.3083,44.278,3958.935
53.4053,44.375,3854.128
53.5023,44.472,3816.331
53.5993,44.569,3982.419
53.6963,44.666,4155.011
53.7933,44.763,4312.353
53.8903,44.86,4228.626
53.9873,44.957,4125.195
54.0843,45.054,4151.222
54.1823,45.152,4055.413
54.2793,45.249,3920.03
54.3763,45.346,3884.33
54.4733,45.443,3990.196
54.5703,45.54,3947.858
54.6673,45.637,3889.811
54.7643,45.734,3993.3
54.8613,45.831,4015.52
54.9583,45.928,3971.767
55.0553,46.025,4031.985
55.1533,46.123,4047.949
55.2503,46.22,3889.283
55.3473,46.317,3772.471
55.4443,46.414,3953.835
55.5413,46.511,4016.269
55.6383,46.608,3982.586
55.7353,46.705,3855.056
55.8323,46.802,3763.617
55.9293,46.899,3898.446
56.0263,46.996,4031.958
56.1233,47.093,4050.492
56.2213,47.191,4204.268
56.3183,47.288,4371.822
56.4153,47.385,4324.559
56.5123,47.482,4181.65
56.6093,47.579,4049.454
56.7063,47.676,3946.008
56.8033,47.773,3983.613
56.9003,47.87,4055.743
56.9973,47.967,4104.738
57.0943,48.064,3960.447
57.1923,48.162,3831.177
57.2893,48.259,3887.424
57.3863,48.356,3887.389
57.4833,48.453,3724.883
57.5803,48.55,3620.265
57.6773,48.647,3646.077
57.7743,48.744,3541.411
57.8713,48.841,3483.396
57.9683,48.938,3569.134
58.0653,49.035,3632.949
58.1633,49.133,3582.321
58.2603,49.23,3558.159
58.3573,49.327,3518.952
58.4543,49.424,3672.639
58.5513,49.521,3844.979
58.6483,49.618,3839.035
58.7453,49.715,3806.034
58.8423,49.812,3876.408
58.9393,49.909,3929.714
59.0373,50.007,3941.806
59.1343,50.104,3957.356
59.2313,50.201,3979.784
59.3283,50.298,4111.643
59.4253,50.395,4318.3
59.5223,50.492,4339.009
59.6193,50.589,4346.592
59.7163,50.686,4297.296
59.8133,50.783,4454.626
59.9103,50.88,4647.253
60.0083,50.978,4519.343
60.1053,51.075,4472.813
60.2023,51.172,4564.285
60.2993,51.269,4599.155
60.3963,51.366,4491.805
60.4933,51.463,4633.126
60.5903,51.56,4800.682
60.6873,51.657,4625.432
60.7843,51.754,4559.436
60.8813,51.851,4710.812
60.9793,51.949,4751.643
61.0763,52.046,4703.594
61.1733,52.143,4766.657
61.2703,52.24,4887.845
61.3673,52.337,4858.517
61.4643,52.434,4732.325
61.5613,52.531,4594.417
61.6583,52.628,4665.734
61.7553,52.725,4767.686
61.8523,52.822,4742.027
