distance,HU
72.534,3780.725
72.631,3809.215
72.728,4365.341
72.825,4699.621
72.922,4703.578
73.019,4490.672
73.116,4264.682
73.213,3989.776
73.311,3542.599
73.408,4254.939
73.505,4147.46
73.602,3988.266
73.699,3705.969
73.796,3889.559
73.893,4037.04
73.99,4035.936
74.087,4074.557
74.184,3822.58
74.282,3604.76
74.379,3881.578
74.476,3809.535
74.573,3934.414
74.67,3818.835
74.767,3935.193
74.864,3832.68
74.961,3856.016
75.058,3872.619
75.155,4286.391
75.253,4257.162
75.35,4390.269
75.447,4469.922
75.544,4227.149
75.641,4312.521
75.738,4338.147
75.835,3953.222
75.932,3825.594
76.029,4217.812
76.126,4518.601
76.224,4162.253
76.321,4186.738
76.418,4515.482
76.515,4832.629
76.612,4772.971
76.709,4594.746
76.806,4523.692
76.903,4422.646
77,4252.582
77.097,4441.299
77.195,4499.392
77.292,4477.816
77.389,4327.942
77.486,4007.186
77.583,4126.726
77.68,4741.84
77.777,4677.172
77.874,4988.55
77.971,5022.335
78.068,4622.127
78.165,4116.528
78.263,4075.122
78.36,4175.486
78.457,4398.397
78.554,4372.73
78.651,4307.561
78.748,4274.853
78.845,3916.215
78.942,3826.759
79.039,3663.719
79.136,3247.669
79.234,3500.012
79.331,3992.126
79.428,3689.355
79.525,3847.648
79.622,3717.794
79.719,4058.399
79.816,4316.532
79.913,4153.76
80.01,4122.382
80.107,4022.835
80.205,4096.478
80.302,4267.322
80.399,4346.703
80.496,4407.854
80.593,4721.006
80.69,4403.01
80.787,4382.063
80.884,4569.09
80.981,4830.989
81.078,4645.415
81.176,3860.43
81.273,4318.621
81.37,4740.701
81.467,4837.954
81.564,4317.817
81.661,4345.18
81.758,4224.909
81.855,4468.485
81.952,4653.792
82.049,5154.101
82.147,5169.911
82.244,4856.415
82.341,4513.379
82.438,4167.002
82.535,4201.775
82.632,4472.722
82.729,4705.493
82.826,4412.514
82.923,4104.25
83.021,4339.707
83.118,4035.988
83.215,3843.011
83.312,4079.347
83.409,3962.822
83.506,4315.211
83.603,4334.535
83.7,4256.729
83.797,3987.602
83.894,4346.971
83.992,3914.81
84.089,4029.124
84.186,4347.929
84.283,4465.163
84.38,4247.446
84.477,3986.897
84.574,4172.924
84.671,4054.46
84.768,3780.376
84.865,3197.951
84.963,3501.865
85.06,3682.575
85.157,3630.672
85.254,3570.585
85.351,3707.125
85.448,3609.476
85.545,3793.846
85.642,4102.619
85.739,3989.823
85.836,3855.015
85.934,3512.028
86.031,3735.409
86.128,4183.569
86.225,3924.439
86.322,3527.932
86.419,3433.085
86.516,3348.143
86.613,3253.249
86.71,3796.019
86.807,3868.771
86.905,3881.111
87.002,3846.591
87.099,4179.194
87.196,4071.789
87.293,4349.905
87.39,4037.57
87.487,4143.947
87.584,4262.502
87.681,3979.201
87.778,3891.775
87.876,3640.592
87.973,4046.606
88.07,3844.521
88.167,4053.899
88.264,3688.749
88.361,4505.95
88.458,3547.527
88.555,3694.901
88.652,3636.307
88.749,3928.908
88.846,4018.319
88.944,3988.898
89.041,4078.46
89.138,3824.253
89.235,4000.608
89.332,3942.156
89.429,4305.745
89.526,4055.308
89.623,4146.911
89.72,3699.19
89.817,3899.107
89.915,4211.247
90.012,4357.913
90.109,4709.376
90.206,4421.351
90.303,4253.901
90.4,4577.968
90.497,5160.598
90.594,5345.904
90.691,5357.778
90.788,5373.609
90.886,5215.368
90.983,5311.241
91.08,5262.454
91.177,5186.687
91.274,5465.282
91.371,5448.897
91.468,5569.706
91.565,5670.856
91.662,5640.145
91.759,5298.449
91.857,5052.096
91.954,5334.961
92.051,5126.946
92.148,4901.588
92.245,4383.538
92.342,3934.293
92.439,4401.159
92.536,4126.46
92.633,4145.656
92.73,3985.038
92.828,4171.465
92.925,4138.375
93.022,3931.212
93.119,4109.192
93.216,4464.629
93.313,4701.389
93.41,4881.63
93.507,4690.649
93.604,4561.94
93.701,4343.402
93.799,3950.365
93.896,3936.943
93.993,3770.175
94.09,3591.343
94.187,3652.156
94.284,3659.882
94.381,3866.276
94.478,3927.678
94.575,4205.183
94.673,4159.659
94.77,4056.989
94.867,4019.834
94.964,4039.242
95.061,3975.466
95.158,3684.086
95.255,3662.361
95.352,3526.659
95.449,4091.966
95.546,4490.171
95.644,4091.213
95.741,3923.087
95.838,4283.104
95.935,4657.738
96.032,4534.264
96.129,3783.931
96.226,3778.125
96.323,3665.346
96.42,4130.312
96.517,3514.916
96.615,4355.737
96.712,3777.628
96.809,3971.017
96.906,3925.264
97.003,3986.928
97.1,3853.16
97.197,4001.835
97.294,3695.677
97.391,3248.074
97.488,3334.002
97.586,3367.306
97.683,3720.648
97.78,3939.185
97.877,3826.959
97.974,4123.542
98.071,3920.583
98.168,4037.208
98.265,3827.086
98.362,3861.316
98.459,4344.832
98.557,4331.482
98.654,4618.37
98.751,4830.996
98.848,4097.476
98.945,3982.063
99.042,4055.733
99.139,3983.482
99.236,4302.006
99.333,4595.317
99.43,4309.32
99.527,4109.845
99.625,3896.565
99.722,3973.779
99.819,4104.537
99.916,4110.689
100.013,3931.535
100.11,3856.307
100.207,3898.393
100.304,3882.728
