"distance" "date" "SrCa" "density" "SST"
84 2012-03-17 8.82703337608617 1.43305695827359 27.87
84.5 2012-02-29 8.80408580555943 1.50721989104203 28.38
85 2012-02-17 8.82384315823823 1.58245086843275 29.26
85.5 2012-02-04 8.80775471046029 1.65293990130203 29.43
86 2012-01-22 8.82234694049216 1.54289834202999 29.39
86.5 2012-01-10 8.83276577170521 1.47748794767879 28.92
87 2011-12-28 8.87282292197095 1.41488143190508 28.54
87.5 2011-12-16 8.90842966945883 1.3545362653458 28.18
88 2011-12-03 8.93522099498622 1.35986002137466 27.54
88.5 2011-11-20 8.97282027963717 1.42592053553163 26.29
89 2011-11-08 9.00888391056793 1.34521229405612 26.29
89.5 2011-10-26 9.04732497390966 1.36947221408367 25.34
90 2011-10-13 9.03853124969668 1.41240684697505 24.98
90.5 2011-10-01 9.06570564921209 1.3780279648777 23.93
91 2011-09-04 8.98824096909648 1.46913349281822 23.92
91.5 2011-08-08 8.96205768846443 1.42566573015193 24.37
92 2011-07-13 8.89474381968078 1.46033573291769 25.07
92.5 2011-06-16 8.84257682389473 1.52211194329706 26.25
93 2011-05-20 8.82515841284141 1.48866741262109 27.51
93.5 2011-04-24 8.8202394827405 1.5080140436188 27.77
94 2011-03-28 8.80889972404199 1.49423308107795 28.33
94.5 2011-03-01 8.80601626089066 1.45335707668009 28.91
95 2011-02-20 8.8220003050523 1.35298021968007 28.29
95.5 2011-02-12 8.81247150253372 1.33623431665304 28.02
96 2011-02-03 8.82481595714457 1.48749388258916 29.16
96.5 2011-01-25 8.83210425996384 1.36797510455834 27.99
97 2011-01-16 8.84994676972958 1.18110972963912 28.1
97.5 2011-01-07 8.83837086690125 1.23258038020296 27.74
98 2010-12-29 8.8382150330852 1.28574338839584 27.54
98.5 2010-12-20 8.8611260939787 1.24127183659483 27.5
99 2010-12-11 8.87858383398045 1.32249928992428 27.1
99.5 2010-12-02 8.91318027102577 1.31367618127288 26.65
100 2010-11-23 8.93265015869782 1.20100873846407 26.45
100.5 2010-11-14 8.96427335474109 1.0915749544308 25.81
101 2010-11-05 8.96509679738904 0.995222978500132 25.34
101.5 2010-10-28 8.99425717775153 1.06440573869823 25.25
102 2010-10-19 9.0059406912508 1.08218493783358 24.95
102.5 2010-10-10 9.04794426443169 1.1220089242261 24.63
103 2010-10-01 9.08074890790317 1.18745019969799 24.08
103.5 2010-09-11 9.00726292830118 1.17452670283612 25.48
104 2010-08-23 8.93679286700564 1.13675257545212 24.3
104.5 2010-08-04 8.88481350335514 1.20425063790217 24.32
105 2010-07-15 8.86052532660269 1.25908331526314 24.51
105.5 2010-06-26 8.81905388321591 1.26395848585134 25.75
106 2010-06-06 8.79443584893121 1.31749469657087 26.47
106.5 2010-05-18 8.79460586078451 1.21771793989476 28.13
107 2010-04-29 8.79302737002517 1.23565724536587 28.28
107.5 2010-04-09 8.78722711866007 1.34908055446945 29.14
108 2010-03-21 8.79840229593105 1.42382156513883 29.59
108.5 2010-03-01 8.78377165011948 1.52314858931753 29.71
109 2010-02-12 8.80043814081073 1.5707668235041 29.59
109.5 2010-01-27 8.81577835349502 1.47068857236095 29.27
110 2010-01-10 8.87366126688703 1.39693193796405 29.74
110.5 2009-12-24 8.88064220617192 1.38919874516082 27.63
111 2009-12-07 8.91635951619209 1.31141641166824 26.79
111.5 2009-11-20 8.96857562835342 1.18458954070466 26.71
112 2009-11-03 9.01757445048911 1.19670383997644 25.29
112.5 2009-10-18 9.03474096754256 1.23594213911434 25.01
113 2009-10-01 9.03692232751845 1.29471463353315 24.3
113.5 2009-09-14 9.01053763032878 1.25254357680928 24.68
