"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max"
"292" 1985 10 19 28.15 30.68 30.43 1.3442 1.07 0.1529 2
"293" 1985 10 20 28.05 30.71 30.49 1.3894 1.13 0.3143 2
"294" 1985 10 21 27.9 30.36 30.15 1.0494 0.79 0.3143 2
"295" 1985 10 22 27.97 29.68 29.5 0.4516 0.14 0.3143 2
"296" 1985 10 23 28.13 29.55 29.32 0.6384 0.03 0.3143 2
"297" 1985 10 24 28.55 29.35 29.29 0.569 0 0.3143 2
"298" 1985 10 25 27.65 29.28 29.18 0.4855 0 0.3143 2
"299" 1985 10 26 28.47 29.59 29.25 0.5342 0 0.3143 2
"300" 1985 10 27 28.06 29.28 28.97 0.2455 0 0.3143 1
"301" 1985 10 28 27.8 28.86 28.77 -0.4013 0 0.3143 1
"302" 1985 10 29 27.9 29.21 29.15 0.0606 0 0.3143 1
"303" 1985 10 30 27.83 29.39 29.33 0.2435 0 0.3143 0
"304" 1985 10 31 27.96 29.47 29.38 0.2913 0 0.3143 0
"305" 1985 11 1 27.88 29.43 29.34 0.2484 0 0.3143 0
"306" 1985 11 2 27.8 29.38 29.3 0.2048 0 0.3143 0
"307" 1985 11 3 27.82 29.43 29.31 0.2106 0 0.3143 0
"308" 1985 11 4 27.43 29.07 29.05 -0.0613 0 0.3143 0
"309" 1985 11 5 27.24 28.96 28.93 -0.189 0 0.3143 0
"310" 1985 11 6 27.09 29.03 29.01 -0.1203 0 0.3143 0
"311" 1985 11 7 27.27 29.01 28.95 -0.289 0 0.3143 0
"312" 1985 11 8 27.24 28.84 28.75 -0.3913 0 0.3143 0
"313" 1985 11 9 27.2 28.82 28.68 -0.5394 0 0.3143 0
"314" 1985 11 10 27.43 28.91 28.79 -0.4297 0 0.3143 0
"315" 1985 11 11 27.9 29.71 29.53 0.3023 0.19 0.3143 1
"316" 1985 11 12 28.04 29.84 29.59 0.3542 0.25 0.3143 1
"317" 1985 11 13 28.2 30.3 29.92 0.6742 0.57 0.3143 1
"318" 1985 11 14 27.99 29.46 29.37 0.4787 0 0.3143 1
"319" 1985 11 15 28.08 29.37 29.27 0.38 0 0.3143 1
"320" 1985 11 16 28.11 29.18 29.09 0.1947 0 0.3143 1
"321" 1985 11 17 28.08 29.13 29.06 0.148 0 0.3143 1
"322" 1985 11 18 28.08 29.07 28.99 0.08 0 0.3143 1
"323" 1985 11 19 28.13 28.99 28.91 0.0067 0 0.3143 1
"324" 1985 11 20 27.87 28.93 28.85 -0.0567 0 0.3143 0
"325" 1985 11 21 27.5 28.69 28.63 -0.29 0 0.3143 0
"326" 1985 11 22 27.6 28.68 28.27 -0.1413 0 0.3143 0
"327" 1985 11 23 27.56 28.3 27.99 -0.4607 0 0.3143 0
"328" 1985 11 24 27.75 28.56 28.4 -0.445 0 0.3143 0
"329" 1985 11 25 27.8 28.71 28.56 -0.2967 0 0.3143 0
"330" 1985 11 26 28 29.22 28.94 -0.363 0 0.3143 0
"331" 1985 11 27 28 28.96 28.71 -0.574 0 0.3143 0
"332" 1985 11 28 27.82 28.85 28.69 -0.5917 0 0.3143 0
"333" 1985 11 29 27.89 28.72 28.4 -0.1293 0 0.3143 0
"334" 1985 11 30 28.26 28.96 28.66 0.185 0 0.3143 0
"335" 1985 12 1 28.31 29.03 28.5 -0.0307 0 0.3143 0
"336" 1985 12 2 28.23 28.76 28.33 -0.1777 0 0.3143 0
"337" 1985 12 3 28.22 28.74 28.46 -0.024 0 0.3143 0
"338" 1985 12 4 28 28.76 28.63 0.0723 0 0.3143 0
"339" 1985 12 5 28.14 29.89 29.36 0.0433 0 0.3143 0
"340" 1985 12 6 28.22 29.33 28.81 0.28 0 0.3143 0
"341" 1985 12 7 28.02 29.55 28.86 0.344 0 0.3143 0
"342" 1985 12 8 28.15 29.75 29.42 0.601 0.17 0.3143 1
"343" 1985 12 9 28.58 30.52 30.1 0.718 0.69 0.3143 1
"344" 1985 12 10 28.29 30.81 30.46 1.0733 1.05 0.4643 2
"345" 1985 12 11 28.05 30.92 30.63 1.2387 1.22 0.6386 2
"346" 1985 12 12 27.7 30.22 29.94 0.544 0.53 0.6386 2
"347" 1985 12 13 27.7 30.1 29.85 0.4493 0.44 0.6386 2
"348" 1985 12 14 27.92 29.71 29.57 0.1937 0.19 0.6386 2
"349" 1985 12 15 27.95 29.63 29.47 0.11 0.11 0.6386 2
"350" 1985 12 16 28.03 29.75 29.6 0.2684 0.25 0.6386 2
"351" 1985 12 17 28.2 30.07 29.97 0.6661 0.62 0.6386 2
"352" 1985 12 18 28.54 30.5 30.37 1.0742 1.02 0.7843 2
"353" 1985 12 19 28.57 30.65 30.5 1.2171 1.15 0.9486 2
"354" 1985 12 20 28.16 30.69 30.49 1.1987 1.14 1.1114 2
"355" 1985 12 21 28.27 30.63 30.4 1.1084 1.05 1.2614 2
"356" 1985 12 22 28.3 30.46 30.28 0.9965 0.93 1.2614 2
"357" 1985 12 23 28.51 30.28 30.14 0.8671 0.79 1.2614 2
"358" 1985 12 24 28.68 30.17 29.93 1.0026 0.51 1.2614 2
"359" 1985 12 25 28.74 30.06 29.93 1.051 0.5 1.2614 2
"360" 1985 12 26 28.6 30.32 30.15 1.1858 0.73 1.2614 2
"361" 1985 12 27 28.63 30.09 29.98 1.0629 0.56 1.2614 2
"362" 1985 12 28 28.55 29.88 29.84 0.899 0.43 1.2614 1
"363" 1985 12 29 28.06 29.83 29.73 0.7874 0.32 1.2614 1
"364" 1985 12 30 28.27 29.91 29.76 0.5774 0.37 1.2614 1
"365" 1985 12 31 28.32 29.68 29.58 0.3897 0.2 1.2614 1
"366" 1986 1 1 28.49 29.71 29.62 0.4445 0.25 1.2614 1
"367" 1986 1 2 28.72 29.81 29.73 0.5468 0.36 1.2614 1
"368" 1986 1 3 28.69 29.95 29.79 1.1265 0.73 1.2614 1
"369" 1986 1 4 28.62 29.73 29.53 0.8855 0.47 1.2614 1
"370" 1986 1 5 28.6 29.67 29.49 0.8255 0.43 1.2614 1
"371" 1986 1 6 28.69 29.58 29.43 0.7619 0.37 1.2614 1
"372" 1986 1 7 28.39 29.38 29.27 0.601 0.22 1.2614 1
"373" 1986 1 8 28.05 29.28 28.98 0.2703 0 1.2614 1
"374" 1986 1 9 28.23 29.38 29.36 0.2671 0 1.2614 1
"375" 1986 1 10 28.45 29.42 29.38 0.2994 0.01 1.2614 1
"376" 1986 1 11 28.75 29.69 29.49 0.4142 0.13 1.1086 1
"377" 1986 1 12 29.11 30.38 30.31 1.2045 0.93 0.9471 1
"378" 1986 1 13 29.07 30.22 30.11 1.0245 0.76 0.9471 1
"379" 1986 1 14 28.92 29.94 29.8 0.7032 0.45 0.9471 1
"380" 1986 1 15 28.8 29.92 29.7 0.62 0.35 0.9471 1
"381" 1986 1 16 28.64 30.22 29.93 0.8545 0.55 0.9471 1
"382" 1986 1 17 28.56 29.53 29.15 0.1639 0 0.9471 1
"383" 1986 1 18 28.64 29.41 29.19 0.1919 0 0.9471 1
"384" 1986 1 19 28.39 29.29 29.26 0.1506 0 0.9471 1
"385" 1986 1 20 28.53 29.59 29.53 0.53 0.11 0.9471 1
"386" 1986 1 21 28.43 29.44 29.39 0.3981 0 0.9471 1
